,UserId,Day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1146,195,0.614,0.603,0.621,0.623,0.606,0.624,0.606,1.01,14.526,21.762,16.142,15.504000000000001,14.868,14.462,16.487,18.463,16.01,7.834,3.4139999999999997,0.612,0.59,0.606,0.617,0.619
536,1520,195,0.193,0.29300000000000004,0.29300000000000004,0.203,0.297,0.296,0.202,0.33599999999999997,0.186,0.279,0.181,0.29100000000000004,0.185,0.275,0.272,0.177,0.275,0.187,0.28800000000000003,0.28500000000000003,0.194,0.28700000000000003,0.195,0.28600000000000003
1072,1723,195,3.146,0.9259999999999999,0.972,0.812,0.9770000000000001,0.871,1.176,1.2690000000000001,2.79,3.557,3.551,7.417999999999999,3.875,3.156,7.058,4.49,2.2399999999999998,1.386,1.787,1.827,1.5859999999999999,1.657,1.189,0.898
1606,1963,195,2.919,2.928,2.941,3.093,2.928,2.9059999999999997,3.192,6.12,6.756,9.146,8.237,8.146,7.93,7.461,8.311,8.899999999999999,8.888000000000002,8.055,4.665,2.775,2.25,1.8969999999999998,1.9909999999999999,1.931
1,1146,196,0.6,0.618,0.623,0.612,0.627,0.629,0.605,3.823,16.252,20.630000000000003,20.378999999999998,20.267,17.855,15.475999999999999,18.403,17.649,14.375,0.731,0.62,0.617,0.595,0.609,0.605,0.612
537,1520,196,0.29000000000000004,0.199,0.307,0.201,0.29400000000000004,0.296,0.2,0.28500000000000003,0.278,0.182,0.276,0.18,0.277,0.275,0.179,0.267,0.272,0.187,0.29000000000000004,0.192,0.28300000000000003,0.28700000000000003,0.191,0.29700000000000004
1073,1723,196,3.2219999999999995,0.756,0.881,0.952,0.835,0.808,0.863,1.005,2.263,4.16,3.706,3.864,4.072,4.355,4.518000000000001,4.228999999999999,2.121,1.468,1.108,1.4060000000000001,1.701,2.003,1.238,1.079
1607,1963,196,1.9,1.91,1.9609999999999999,1.966,1.896,1.8969999999999998,1.943,3.1479999999999997,4.497999999999999,6.68,5.451,5.282,6.058999999999999,5.622,5.814,5.902,5.945,5.0489999999999995,2.7430000000000003,1.771,1.7810000000000001,1.778,1.823,1.7189999999999999
2,1146,197,0.599,0.61,0.61,0.611,0.595,0.614,0.611,0.598,15.822,19.224,16.932000000000002,13.797,13.491,14.483,16.684,16.667,14.378,4.702999999999999,0.646,0.61,0.587,0.597,0.601,0.596
538,1520,197,0.194,0.29400000000000004,0.29200000000000004,0.203,0.299,0.233,0.255,0.28900000000000003,0.185,0.278,0.28200000000000003,0.187,0.275,0.29600000000000004,0.186,0.276,0.186,0.28500000000000003,0.19,0.28800000000000003,0.29200000000000004,0.198,0.28800000000000003,0.198
