time,P,G(i),H_sun,T2m,WS10m,Int

20190701:0011,0.0,0.0,0.0,12.6,3.66,0.0

20190701:0111,0.0,0.0,0.0,12.33,3.59,0.0

20190701:0211,0.0,0.0,0.0,12.19,3.59,0.0

20190701:0311,0.0,0.0,0.0,12.13,3.66,0.0

20190701:0411,0.0,0.0,0.0,11.92,3.52,0.0

20190701:0511,173.0,33.73,6.91,12.0,3.45,0.0

20190701:0611,556.9,83.73,15.15,12.42,3.03,0.0

20190701:0711,975.1,131.49,23.94,13.23,5.59,0.0

20190701:0811,2308.1,285.99,32.95,13.8,5.31,0.0

20190701:0911,4272.4,515.47,41.79,14.32,4.83,0.0

20190701:1011,1965.1,247.34,49.89,14.91,4.34,0.0

20190701:1111,2147.3,269.23,56.35,15.2,3.93,0.0

20190701:1211,4714.9,576.67,59.85,15.24,3.66,0.0

20190701:1311,6065.1,748.36,59.26,15.51,3.52,0.0

20190701:1411,6696.4,831.22,54.78,15.91,3.45,0.0

20190701:1511,6007.8,741.24,47.74,16.15,3.31,0.0

20190701:1611,4577.6,562.46,39.36,16.17,3.24,0.0

20190701:1711,2601.7,329.24,30.43,15.94,3.1,0.0

20190701:1811,1189.5,188.7,21.44,15.64,2.97,0.0

20190701:1911,506.2,76.74,12.78,15.17,2.48,0.0

20190701:2011,0.8,5.9,4.76,14.8,2.0,0.0

20190701:2111,0.0,0.0,0.0,13.94,1.59,0.0

20190701:2211,0.0,0.0,0.0,13.23,1.45,0.0

20190701:2311,0.0,0.0,0.0,12.82,1.52,0.0

20190702:0011,0.0,0.0,0.0,12.24,1.66,0.0

20190702:0111,0.0,0.0,0.0,11.6,1.72,0.0

20190702:0211,0.0,0.0,0.0,11.32,1.52,0.0

20190702:0311,0.0,0.0,0.0,10.84,1.38,0.0

20190702:0411,0.0,0.0,0.0,10.29,1.31,0.0

20190702:0511,143.9,29.51,6.83,9.89,1.31,0.0

20190702:0611,652.8,93.31,15.07,10.8,1.24,0.0

20190702:0711,1409.1,185.48,23.86,12.17,2.07,0.0

20190702:0811,2789.1,346.05,32.87,13.16,2.0,0.0

20190702:0911,2792.0,344.18,41.71,13.7,2.21,0.0

20190702:1011,3825.1,469.1,49.81,14.12,2.14,0.0

20190702:1111,2924.4,362.73,56.27,14.62,1.86,0.0

20190702:1211,2099.3,265.27,59.78,14.82,1.59,0.0

20190702:1311,2352.4,295.79,59.2,15.17,1.59,0.0

20190702:1411,2239.1,282.94,54.74,15.72,1.59,0.0

20190702:1511,2730.5,341.38,47.71,15.89,1.72,0.0

20190702:1611,2285.2,287.84,39.34,15.88,1.93,0.0

20190702:1711,1879.4,241.02,30.41,15.91,2.14,0.0

20190702:1811,900.1,125.12,21.42,15.76,2.14,0.0

20190702:1911,336.9,55.66,12.75,14.97,1.93,0.0

20190702:2011,11.1,8.43,4.72,14.61,1.79,0.0

20190702:2111,0.0,0.0,0.0,14.09,1.72,0.0

20190702:2211,0.0,0.0,0.0,13.54,1.72,0.0

20190702:2311,0.0,0.0,0.0,13.19,1.66,0.0

20190703:0011,0.0,0.0,0.0,12.8,1.66,0.0

20190703:0111,0.0,0.0,0.0,12.42,1.66,0.0

20190703:0211,0.0,0.0,0.0,11.9,1.52,0.0

20190703:0311,0.0,0.0,0.0,11.53,1.38,0.0

20190703:0411,0.0,0.0,0.0,11.13,1.24,0.0

20190703:0511,174.2,33.73,6.75,10.55,1.17,0.0

20190703:0611,276.1,49.66,14.98,11.19,0.9,0.0

20190703:0711,1687.6,244.39,23.77,12.48,2.07,0.0

20190703:0811,3739.2,465.73,32.79,13.39,1.93,0.0

20190703:0911,5456.8,672.11,41.62,14.3,2.07,0.0

20190703:1011,5648.1,701.06,49.72,15.26,2.14,0.0

20190703:1111,7020.7,886.43,56.18,15.6,2.28,0.0

20190703:1211,7938.4,1021.65,59.7,16.53,2.28,0.0

20190703:1311,7862.7,1018.71,59.13,17.32,2.07,0.0

20190703:1411,7309.2,946.08,54.69,18.02,1.72,0.0

20190703:1511,6289.6,805.98,47.67,18.4,1.38,0.0

20190703:1611,4850.9,615.23,39.31,18.83,1.31,0.0

20190703:1711,3043.8,396.9,30.38,18.88,1.45,0.0

20190703:1811,1165.4,188.54,21.39,18.71,1.66,0.0

20190703:1911,357.3,59.03,12.71,18.38,2.14,0.0

20190703:2011,92.7,22.77,4.68,17.17,1.93,0.0

20190703:2111,0.0,0.0,0.0,15.54,1.86,0.0

20190703:2211,0.0,0.0,0.0,14.21,1.72,0.0

20190703:2311,0.0,0.0,0.0,13.13,1.52,0.0

20190704:0011,0.0,0.0,0.0,11.91,1.1,0.0

20190704:0111,0.0,0.0,0.0,11.75,0.76,0.0

20190704:0211,0.0,0.0,0.0,11.92,0.28,0.0

20190704:0311,0.0,0.0,0.0,11.53,0.14,0.0

20190704:0411,0.0,0.0,0.0,11.08,0.21,0.0

20190704:0511,186.4,35.42,6.65,10.67,0.14,0.0

20190704:0611,477.0,73.32,14.89,10.97,0.0,0.0

20190704:0711,1659.6,236.76,23.68,13.21,0.55,0.0

20190704:0811,3230.9,407.47,32.7,14.94,0.9,0.0

20190704:0911,5028.8,633.21,41.53,16.32,0.9,0.0

20190704:1011,6331.7,813.55,49.63,17.68,1.1,0.0

20190704:1111,6605.4,857.22,56.09,18.78,1.31,0.0

20190704:1211,6252.1,808.28,59.61,19.63,1.59,0.0

20190704:1311,7017.7,914.69,59.06,20.25,1.93,0.0

20190704:1411,7086.7,918.22,54.63,20.61,2.28,0.0

20190704:1511,5696.2,723.02,47.63,20.78,2.55,0.0

20190704:1611,4284.2,539.43,39.27,20.65,2.76,0.0

20190704:1711,2329.6,301.14,30.34,19.95,2.9,0.0

20190704:1811,1245.9,184.9,21.35,18.86,2.62,0.0

20190704:1911,424.9,67.46,12.67,17.91,2.41,0.0

20190704:2011,0.7,5.9,4.64,16.82,2.34,0.0

20190704:2111,0.0,0.0,0.0,15.51,2.14,0.0

